Log of Bounding Box Areas for Each Frame
--------------------------------------------------
Frame 31, Class: erc_90, Conf: 0.98, Box: (179.80581665039062, 37.7784423828125), (394.4847717285156, 338.98974609375), Area: 64663.73 pixels^2
Frame 31, Class: erc_90, Conf: 0.52, Box: (0.728271484375, 414.04803466796875), (84.49179077148438, 479.56475830078125), Area: 5487.91 pixels^2
Frame 32, Class: erc_90, Conf: 0.98, Box: (178.20169067382812, 37.16436767578125), (394.2861633300781, 338.0498046875), Area: 65016.67 pixels^2
Frame 33, Class: erc_90, Conf: 0.98, Box: (177.2680206298828, 37.74737548828125), (394.90081787109375, 337.20965576171875), Area: 65172.81 pixels^2
Frame 33, Class: erc_90, Conf: 0.35, Box: (0.741058349609375, 414.35931396484375), (85.707275390625, 479.54864501953125), Area: 5538.89 pixels^2
Frame 34, Class: erc_90, Conf: 0.98, Box: (177.73568725585938, 38.593475341796875), (395.3099670410156, 338.40264892578125), Area: 65230.77 pixels^2
Frame 34, Class: erc_90, Conf: 0.48, Box: (0.7631759643554688, 414.37646484375), (86.4787368774414, 479.540771484375), Area: 5585.60 pixels^2
Frame 35, Class: erc_90, Conf: 0.98, Box: (178.0455322265625, 39.041748046875), (394.85748291015625, 337.11376953125), Area: 64625.58 pixels^2
Frame 35, Class: erc_90, Conf: 0.67, Box: (0.6624603271484375, 413.78070068359375), (86.2708969116211, 479.55279541015625), Area: 5630.65 pixels^2
Frame 36, Class: erc_90, Conf: 0.98, Box: (176.60198974609375, 37.4580078125), (393.265869140625, 337.88128662109375), Area: 65090.88 pixels^2
Frame 36, Class: erc_90, Conf: 0.69, Box: (0.723907470703125, 412.863037109375), (85.60977172851562, 479.5391845703125), Area: 5659.86 pixels^2
Frame 37, Class: erc_90, Conf: 0.98, Box: (175.54469299316406, 38.07012939453125), (394.0152587890625, 337.084716796875), Area: 65325.89 pixels^2
Frame 37, Class: erc_90, Conf: 0.58, Box: (0.728302001953125, 413.20623779296875), (84.84749603271484, 479.53375244140625), Area: 5579.42 pixels^2
Frame 38, Class: erc_90, Conf: 0.98, Box: (175.960693359375, 38.426177978515625), (394.45477294921875, 337.39190673828125), Area: 65322.24 pixels^2
Frame 38, Class: erc_90, Conf: 0.66, Box: (0.6834030151367188, 413.294677734375), (85.7606201171875, 479.52825927734375), Area: 5634.97 pixels^2
Frame 39, Class: erc_90, Conf: 0.98, Box: (176.5762176513672, 39.90313720703125), (394.62969970703125, 337.43414306640625), Area: 64877.67 pixels^2
Frame 39, Class: erc_90, Conf: 0.60, Box: (0.7417449951171875, 413.94000244140625), (85.05642700195312, 479.53814697265625), Area: 5530.89 pixels^2
Frame 40, Class: erc_90, Conf: 0.98, Box: (176.42218017578125, 38.761199951171875), (395.3624267578125, 337.3084716796875), Area: 65364.01 pixels^2
Frame 40, Class: erc_90, Conf: 0.41, Box: (0.7799530029296875, 414.6068115234375), (85.63825988769531, 479.5386962890625), Area: 5510.01 pixels^2
Frame 41, Class: erc_90, Conf: 0.98, Box: (175.82394409179688, 39.536041259765625), (395.0876159667969, 337.66851806640625), Area: 65369.62 pixels^2
Frame 41, Class: erc_90, Conf: 0.30, Box: (0.6924819946289062, 414.00970458984375), (84.77506256103516, 479.60015869140625), Area: 5515.01 pixels^2
Frame 42, Class: erc_90, Conf: 0.98, Box: (178.242919921875, 38.684478759765625), (395.37261962890625, 337.67913818359375), Area: 64920.62 pixels^2
Frame 42, Class: erc_90, Conf: 0.27, Box: (0.7789688110351562, 414.04425048828125), (85.5576400756836, 479.58380126953125), Area: 5556.36 pixels^2
Frame 43, Class: erc_90, Conf: 0.98, Box: (178.56768798828125, 39.42706298828125), (395.0428466796875, 337.92620849609375), Area: 64617.65 pixels^2
Frame 43, Class: erc_90, Conf: 0.44, Box: (0.8005447387695312, 413.9022216796875), (84.40420532226562, 479.55517578125), Area: 5488.83 pixels^2
Frame 44, Class: erc_90, Conf: 0.98, Box: (176.1398162841797, 40.1661376953125), (394.99578857421875, 337.8760681152344), Area: 65155.60 pixels^2
Frame 44, Class: erc_90, Conf: 0.33, Box: (0.734588623046875, 413.6480712890625), (83.99972534179688, 479.5892333984375), Area: 5490.60 pixels^2
Frame 45, Class: erc_90, Conf: 0.98, Box: (175.8674774169922, 39.82568359375), (394.97210693359375, 338.0196533203125), Area: 65335.68 pixels^2
Frame 45, Class: erc_90, Conf: 0.50, Box: (0.63250732421875, 414.06915283203125), (85.07167053222656, 479.5650634765625), Area: 5530.42 pixels^2
Frame 46, Class: erc_90, Conf: 0.98, Box: (177.81671142578125, 40.279998779296875), (395.1602783203125, 337.4046325683594), Area: 64578.13 pixels^2
Frame 46, Class: erc_90, Conf: 0.38, Box: (0.7255020141601562, 414.09564208984375), (84.71768951416016, 479.57611083984375), Area: 5499.85 pixels^2
Frame 47, Class: erc_90, Conf: 0.98, Box: (174.48255920410156, 40.197479248046875), (394.9300537109375, 336.9505615234375), Area: 65418.47 pixels^2
Frame 47, Class: erc_90, Conf: 0.42, Box: (0.6895599365234375, 414.21453857421875), (85.82806396484375, 479.54034423828125), Area: 5561.74 pixels^2
Frame 48, Class: erc_90, Conf: 0.98, Box: (176.1185760498047, 38.548553466796875), (392.70623779296875, 337.6117858886719), Area: 64773.41 pixels^2
